year,team,waiver_signed,waiver_spending,extended_signed,extended_spend,fa_signed,fa_spend,draft_spend,undraft_signed,undraft_spend,traded_from,traded_to,ttl_spend
2021,ARI,25,14572000,3,34800000,32,71015000,40144812,6,12877500,1,1,173409312
2021,ATL,14,5050000,1,920000,28,30547500,69883754,20,48610500,1,1,155011754
2021,BAL,17,11804000,6,26925500,14,77407500,49004474,12,27427000,4,1,192568474
2021,BUF,14,10045000,8,363584000,27,35092500,35541875,6,14654500,2,0,458917875
2021,CAR,16,17434000,6,105308500,27,82157500,63229481,10,20102000,3,3,274477481
2021,CHI,15,24890000,4,23260391,25,46880000,45468657,14,34007000,1,0,156626048
2021,CIN,11,2170000,3,42712500,19,136327500,70659418,7,17069000,2,1,268938418
2021,CLE,18,24918000,1,36600000,20,76095000,43745021,6,12163000,0,0,193521021
2021,DAL,18,46111800,1,160000000,18,39240000,62462211,13,31607000,0,0,301730211
2021,DEN,15,20497200,1,61000000,21,64640000,61337080,12,29211000,1,2,222956080
2021,DET,14,3470000,3,79200000,32,77617500,54247780,14,34069500,0,2,248604780
2021,GB,23,6297000,0,0,16,22335000,44669027,9,17016500,2,3,90317527
2021,HOU,10,4316000,5,10850000,41,102020000,21359951,4,7312500,5,6,145858451
2021,IND,26,5517000,3,168500000,19,43767500,38566969,6,12872000,0,2,269223469
2021,JAC,12,13754000,4,27000000,28,172512500,87572491,6,14640000,5,2,301724991
2021,KC,23,2983000,1,1600000,19,105450000,26503219,8,19502500,1,2,156038719
2021,LV_OAK,10,0,0,0,16,101260000,52635186,15,31610000,0,0,185505186
2021,LAC,21,6466000,0,0,6,7740000,37550001,12,29168500,2,1,80924501
2021,LAR,21,2670000,4,67047500,38,82432500,43622218,10,24325000,3,1,220097218
2021,MIA,19,4602500,2,59500000,27,55190011,69972026,8,14595500,2,4,203860037
2021,MIN,10,780000,1,64000000,20,51405000,57150729,12,29200000,1,2,202535729
2021,NE,11,0,2,14100000,31,291246000,47759105,1,2425000,3,3,355530105
2021,NO,17,11739500,4,102117500,32,45807500,34613212,13,31596500,1,0,215262212
2021,NYG,24,31890700,2,64600000,33,157452500,37188004,3,7325000,3,4,279105004
2021,NYJ,13,11612000,0,0,23,134705000,86648674,12,29237000,2,1,251590674
2021,PHI,16,8645200,1,9000000,15,25240000,56476004,7,17057500,3,2,116418704
2021,PIT,22,5320000,4,19080000,25,46805000,46670682,8,19517500,0,2,137393182
2021,SEA,17,850000,7,189610000,26,73365000,13720792,19,39617000,1,3,317162792
2021,SF,19,2705000,10,140169000,39,202032500,65789286,5,12218000,1,0,422913786
2021,TB,17,19383000,3,81000000,23,58045000,36556163,9,21888500,0,0,200889663
2021,TEN,21,1977500,2,3920000,45,163902500,45159071,11,26765500,1,1,241724571
2021,WAS,17,22009000,0,0,0,0,52779010,0,0,0,1,56752010
2020,ARI,7,5620000,3,114250000,20,67720000,40410898,23,52676000,1,1,280676898
2020,ATL,7,6120000,4,7140000,16,61952500,33965676,20,45736500,0,2,154914676
2020,BAL,10,21698000,6,48077500,13,18200000,50190226,22,50383000,2,1,171740726
2020,BUF,14,15178500,4,92800000,19,100932500,28391367,9,20685000,0,2,257987367
2020,CAR,11,6379000,6,84478500,20,128147500,51648516,18,38959500,3,1,309613016
2020,CHI,11,8755117,3,80885000,21,106105000,31638148,13,27503000,1,1,254886265
2020,CIN,5,3360000,1,48000000,13,134785000,60850604,11,25189000,1,1,272184604
2020,CLE,9,10290000,1,125000000,16,126830000,47256004,16,36669000,0,2,346045004
2020,DAL,10,13238000,5,129825000,19,66534500,39747960,17,38882000,0,0,288227460
2020,DEN,17,29526000,1,825000,12,89500000,54089822,9,18996000,3,3,181495822
2020,DET,15,9390000,3,66135000,15,119050000,69857980,7,16092000,2,1,280524980
2020,GB,8,4430000,2,82900000,5,17547500,42902615,15,34377500,0,0,182157615
2020,HOU,12,13285285,10,201935000,11,56830000,23914719,9,20649000,1,2,316614004
2020,IND,16,9690000,2,134000000,11,36492500,42499780,10,22960000,1,1,245642280
2020,JAC,8,25153000,0,0,20,100877000,75707118,18,41224500,5,0,225173618
2020,KC,14,7890000,5,590500000,17,18442000,27919477,19,43521500,0,0,688272977
2020,LV_OAK,9,15212000,2,159500000,9,72935000,54147376,19,43496500,1,1,334683876
2020,LAC,9,10740000,1,3900000,4,28650000,38460175,25,57252000,1,0,139002175
2020,LAR,5,2980000,1,7000000,22,129312500,51695407,8,18402500,3,1,209390407
2020,MIA,12,13218000,1,660000,16,239177500,91924313,11,25239500,2,3,370219313
2020,MIN,11,9630000,6,88047000,11,44455000,73721545,14,32093300,1,2,247946845
2020,NE,11,10627000,2,29400000,17,27245000,44825661,15,34376500,2,1,146474161
2020,NO,11,9510000,4,97080000,21,74577500,25365394,15,34403500,0,0,240936394
2020,NYG,12,13985500,3,19225000,22,108852500,69811671,16,36656500,0,1,248531171
2020,NYJ,12,11905250,3,24420000,19,94177500,52643015,9,20629150,1,2,203774915
2020,PHI,10,8750000,6,67230000,9,50572500,48943608,16,36697000,0,2,212193108
2020,PIT,14,7215000,3,5435000,19,34310000,25941614,11,25216000,0,1,98117614
2020,SF,6,3360000,2,24187500,14,44565000,42098347,18,41242200,1,2,155453047
2020,SEA,22,18520000,7,191462500,17,16082500,38524402,12,27561280,3,1,292150682
2020,TB,9,8565000,1,25000000,15,74680000,42115277,13,29814000,0,1,180174277
2020,TEN,13,14655000,4,185910000,20,29047500,31803077,14,32099500,1,0,293515077
2020,WAS,6,20505000,1,5100000,18,90338500,61403466,5,11456500,0,1,173773466
2019,ARI,12,7650000,1,11000000,24,109225000,71985657,19,33413000,3,2,233273657
2019,ATL,11,25214000,7,145690000,17,70772500,39531474,17,29903500,1,0,295902474
