year,team,rswp,ps_points
2021,ARI,0.647,1
2021,ATL,0.412,0
2021,BAL,0.471,0
2021,BUF,0.647,2
2021,CAR,0.294,0
2021,CHI,0.353,0
2021,CIN,0.588,4
2021,CLE,0.471,0
2021,DAL,0.706,1
2021,DEN,0.412,0
2021,DET,0.206,0
2021,GB,0.765,2
2021,HOU,0.235,0
2021,IND,0.529,0
2021,JAC,0.176,0
2021,KC,0.706,3
2021,LV_OAK,0.588,1
2021,LAC,0.529,0
2021,LAR,0.706,5
2021,MIA,0.529,0
2021,MIN,0.471,0
2021,NE,0.588,1
2021,NO,0.529,0
2021,NYG,0.235,0
2021,NYJ,0.235,0
2021,PHI,0.529,1
2021,PIT,0.559,1
2021,SF,0.588,3
2021,SEA,0.412,0
2021,TB,0.765,2
2021,TEN,0.706,2
2021,WAS,0.412,0
2020,ARI,0.5,0
2020,ATL,0.25,0
2020,BAL,0.688,2
2020,BUF,0.813,3
2020,CAR,0.313,0
2020,CHI,0.5,1
2020,CIN,0.281,0
2020,CLE,0.688,2
2020,DAL,0.375,0
2020,DEN,0.313,0
2020,DET,0.313,0
2020,GB,0.813,3
2020,HOU,0.25,0
2020,IND,0.688,1
2020,JAC,0.063,0
2020,KC,0.875,4
2020,LV_OAK,0.5,0
2020,LAC,0.438,0
2020,LAR,0.625,2
2020,MIA,0.625,0
2020,MIN,0.438,0
2020,NE,0.438,0
2020,NO,0.75,2
2020,NYG,0.375,0
2020,NYJ,0.125,0
2020,PHI,0.281,0
2020,PIT,0.75,1
2020,SF,0.375,0
2020,SEA,0.75,1
2020,TB,0.688,5
2020,TEN,0.688,1
2020,WAS,0.438,1
2019,ARI,0.344,0
2019,ATL,0.438,0
2019,BAL,0.875,2
2019,BUF,0.625,1
2019,CAR,0.313,0
2019,CHI,0.5,0
2019,CIN,0.125,0
2019,CLE,0.375,0
2019,DAL,0.5,0
2019,DEN,0.438,0
2019,DET,0.219,0
2019,GB,0.813,3
2019,HOU,0.625,2
2019,IND,0.438,0
2019,JAC,0.375,0
2019,KC,0.75,5
2019,LV_OAK,0.438,0
2019,LAC,0.313,0
2019,LAR,0.563,0
2019,MIA,0.313,0
2019,MIN,0.625,2
2019,NE,0.75,1
2019,NO,0.813,1
2019,NYG,0.25,0
2019,NYJ,0.438,0
2019,PHI,0.563,1
2019,PIT,0.5,0
2019,SF,0.813,4
2019,SEA,0.688,2
2019,TB,0.438,0
2019,TEN,0.563,3
2019,WAS,0.188,0
2018,ARI,0.188,0
2018,ATL,0.438,0
2018,BAL,0.625,1
2018,BUF,0.375,0
2018,CAR,0.438,0
2018,CHI,0.75,1
2018,CIN,0.375,0
2018,CLE,0.469,0
2018,DAL,0.625,2
2018,DEN,0.375,0
2018,DET,0.375,0
2018,GB,0.406,0
2018,HOU,0.688,1
2018,IND,0.625,2
2018,JAC,0.313,0
2018,KC,0.75,3
2018,LV_OAK,0.25,0
2018,LAC,0.75,2
2018,LAR,0.813,4
2018,MIA,0.438,0
2018,MIN,0.531,0
2018,NE,0.688,5
2018,NO,0.813,3
2018,NYG,0.313,0
2018,NYJ,0.25,0
2018,PHI,0.563,2
2018,PIT,0.594,0
2018,SF,0.25,0
2018,SEA,0.625,1
2018,TB,0.313,0
2018,TEN,0.563,0
2018,WAS,0.438,0
2017,ARI,0.5,0
2017,ATL,0.625,2
2017,BAL,0.563,0
2017,BUF,0.563,1
2017,CAR,0.688,1
2017,CHI,0.313,0
2017,CIN,0.438,0
2017,CLE,0,0
2017,DAL,0.563,0
2017,DEN,0.313,0
2017,DET,0.563,0
2017,GB,0.438,0
2017,HOU,0.25,0
2017,IND,0.25,0
2017,JAC,0.625,3
2017,KC,0.625,1
2017,LV_OAK,0.375,0
2017,LAC,0.563,0
2017,LAR,0.688,1
2017,MIA,0.375,0
2017,MIN,0.813,3
2017,NE,0.813,4
2017,NO,0.688,2
2017,NYG,0.188,0
2017,NYJ,0.313,0
2017,PHI,0.813,5
2017,PIT,0.813,2
2017,SF,0.375,0
2017,SEA,0.563,0
2017,TB,0.313,0
2017,TEN,0.563,2
2017,WAS,0.438,0
2016,ARI,0.469,0
2016,ATL,0.688,4
2016,BAL,0.5,0
2016,BUF,0.438,0
2016,CAR,0.375,0
2016,CHI,0.188,0
2016,CIN,0.406,0
2016,CLE,0.063,0
2016,DAL,0.813,2
2016,DEN,0.563,0
2016,DET,0.563,1
2016,GB,0.625,3
2016,HOU,0.563,2
2016,IND,0.5,0
2016,JAC,0.188,0
2016,KC,0.75,2
2016,LV_OAK,0.75,1
2016,LAC,0.313,0
2016,LAR,0.25,0
2016,MIA,0.625,1
2016,MIN,0.5,0
2016,NE,0.875,5
2016,NO,0.438,0
2016,NYG,0.688,1
2016,NYJ,0.313,0
2016,PHI,0.438,0
2016,PIT,0.688,3
2016,SF,0.125,0
2016,SEA,0.656,2
2016,TB,0.563,0
2016,TEN,0.563,0
2016,WAS,0.531,0
2015,ARI,0.813,3
2015,ATL,0.5,0
2015,BAL,0.313,0
2015,BUF,0.5,0
2015,CAR,0.938,4
2015,CHI,0.375,0
2015,CIN,0.75,1
2015,CLE,0.188,0
2015,DAL,0.25,0
2015,DEN,0.75,5
2015,DET,0.438,0
2015,GB,0.625,2
2015,HOU,0.563,1
2015,IND,0.5,0
2015,JAC,0.313,0
2015,KC,0.688,2
2015,LV_OAK,0.438,0
2015,LAC,0.25,0
2015,LAR,0.438,0
2015,MIA,0.375,0
2015,MIN,0.688,1
2015,NE,0.75,3
2015,NO,0.438,0
2015,NYG,0.375,0
2015,NYJ,0.625,0
2015,PHI,0.438,0
2015,PIT,0.625,2
2015,SF,0.313,0
2015,SEA,0.625,2
2015,TB,0.375,0
2015,TEN,0.188,0
2015,WAS,0.563,1
2014,ARI,0.688,1
2014,ATL,0.375,0
2014,BAL,0.625,2
2014,BUF,0.563,0
2014,CAR,0.469,2
2014,CHI,0.313,0
2014,CIN,0.656,1
2014,CLE,0.438,0
2014,DAL,0.75,2
2014,DEN,0.75,2
2014,DET,0.688,1
2014,GB,0.75,3
2014,HOU,0.563,0
2014,IND,0.688,3
2014,JAC,0.188,0
2014,KC,0.563,0
2014,LV_OAK,0.188,0
2014,LAC,0.563,0
2014,LAR,0.375,0
2014,MIA,0.5,0
2014,MIN,0.438,0
2014,NE,0.75,5
2014,NO,0.438,0
2014,NYG,0.375,0
2014,NYJ,0.25,0
2014,PHI,0.625,0
2014,PIT,0.688,1
2014,SF,0.5,0
2014,SEA,0.75,4
2014,TB,0.125,0
2014,TEN,0.125,0
2014,WAS,0.25,0
2013,ARI,0.625,0
2013,ATL,0.25,0
2013,BAL,0.5,0
2013,BUF,0.375,0
2013,CAR,0.75,2
2013,CHI,0.5,0
2013,CIN,0.688,1
2013,CLE,0.25,0
2013,DAL,0.5,0
2013,DEN,0.813,4
2013,DET,0.438,0
2013,GB,0.531,1
2013,HOU,0.125,0
2013,IND,0.688,2
2013,JAC,0.25,0
2013,KC,0.688,1
2013,LV_OAK,0.25,0
2013,LAC,0.563,2
2013,LAR,0.438,0
2013,MIA,0.5,0
2013,MIN,0.344,0
2013,NE,0.75,3
2013,NO,0.688,2
2013,NYG,0.438,0
2013,NYJ,0.5,0
2013,PHI,0.625,1
2013,PIT,0.5,0
2013,SF,0.75,3
2013,SEA,0.813,5
2013,TB,0.25,0
2013,TEN,0.438,0
2013,WAS,0.188,0
